,Name,Episodes,Release,Members,Score
2887,Renai Boukun,12,Apr 2017 - Jun 2017,364747,6.62
2649,Cardfight!! Vanguard: will+Dress Season 2,12,Jan 2023 - Apr 2023,4347,6.72
499,Sayonara Zetsubou Sensei,12,Jul 2007 - Sep 2007,342922,7.86
2063,Soukou no Strain,13,Nov 2006 - Feb 2007,22777,7.01
1768,Shin Megami Tensei Devil Children: Light & Dark,52,Oct 2002 - Sep 2003,2262,7.15
2152,Kuruneko 2nd Season,50,Jul 2010 - Jul 2011,1542,6.96
769,Uma Musume: Pretty Derby Season 3,13,Oct 2023 - Dec 2023,17388,7.62
2376,Daikuu Maryuu Gaiking,44,Apr 1976 - Jan 1977,2622,6.85
4208,Blue Reflection Ray,24,Apr 2021 - Sep 2021,29191,5.83
2730,Hoshizora e Kakaru Hashi,12,Apr 2011 - Jun 2011,175662,6.69
1906,Bubblegum Crisis Tokyo 2040,26,Oct 1998 - Apr 1999,39063,7.08
3711,Ketsuekigata-kun! 4,12,Jan 2016 - Mar 2016,3506,6.22
3968,Majutsushi Orphen Hagure Tabi: Seiiki-hen,12,Apr 2023 - Jun 2023,9752,6.04
799,Yume no Crayon Oukoku,70,Sep 1997 - Jan 1999,4522,7.6
2618,Gunparade March: Arata Naru Kougunka,12,Feb 2003 - Apr 2003,16647,6.73
1637,Kakegurui××,12,Jan 2019 - Mar 2019,764228,7.19
829,Mashle,12,Apr 2023 - Jul 2023,447379,7.58
1942,Inou-Battle wa Nichijou-kei no Naka de,12,Oct 2014 - Dec 2014,421890,7.06
3650,Galactic Patrol Lensman,25,Oct 1984 - Mar 1985,1960,6.26
2571,Masamune-kun no Revenge,12,Jan 2017 - Mar 2017,870000,6.75
681,Aoi Bungaku Series,12,Oct 2009 - Dec 2009,219379,7.68
2006,Jahy-sama wa Kujikenai!,20,Aug 2021 - Dec 2021,243277,7.03
3974,Minna Atsumare! Falcom Gakuen SC,12,Jan 2015 - Mar 2015,3532,6.03
4316,Pecola,26,Oct 2002 - Mar 2003,630,5.72
2142,Gokujou Seitokai,26,Apr 2005 - Sep 2005,20021,6.97
823,Tsubasa Chronicle 2nd Season,26,Apr 2006 - Nov 2006,117263,7.58
2005,Houkago Shounen Hanako-kun,4,Oct 2023 - Nov 2023,52892,7.03
4375,Hoshi no Samidare,24,Jul 2022 - Dec 2022,56508,5.65
3322,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,12,Oct 2012 - Dec 2012,301587,6.43
1479,Nabari no Ou,26,Apr 2008 - Sep 2008,165692,7.25
3775,Yami Shibai 10,13,Jan 2022 - Apr 2022,9701,6.18
1581,Haiyore! Nyaruko-san W,12,Apr 2013 - Jul 2013,180830,7.22
323,Kodomo no Omocha (TV),102,Apr 1996 - Mar 1998,68175,8.06
3571,Cluster Edge,25,Oct 2005 - Mar 2006,10821,6.3
4145,Iii Icecrin,12,Apr 2021 - Jun 2021,518,5.89
3395,L/R: Licensed by Royal,12,Jan 2003 - Mar 2003,4981,6.39
1325,Himouto! Umaru-chan R,12,Oct 2017 - Dec 2017,254410,7.32
3724,Dance with Devils,12,Oct 2015 - Dec 2015,127084,6.21
2127,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,8,Aug 2021 - Sep 2021,62901,6.98
1481,Papa no Iukoto wo Kikinasai!,12,Jan 2012 - Mar 2012,193508,7.25
2941,Strike Witches: 501 Butai Hasshin Shimasu!,12,Apr 2019 - Jun 2019,19456,6.6
400,Mahou Shoujo Lyrical Nanoha A's,13,Oct 2005 - Dec 2005,64841,7.96
3795,Tono to Issho: Ippunkan Gekijou,12,Jul 2010 - Sep 2010,3447,6.16
1076,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,13,Jan 2022 - Apr 2022,240839,7.44
2224,Peach Girl,25,Jan 2005 - Jun 2005,102959,6.93
1484,Appare-Ranman!,13,Apr 2020 - Sep 2020,129468,7.25
2000,B'T X,25,Apr 1996 - Sep 1996,12018,7.03
2990,M3: Sono Kuroki Hagane,24,Apr 2014 - Sep 2014,56564,6.57
1905,Aquarion Evol,26,Jan 2012 - Jun 2012,105925,7.08
3259,Metal Fighter Miku,13,Jul 1994 - Sep 1994,4882,6.46
486,Hoozuki no Reitetsu 2nd Season,13,Oct 2017 - Dec 2017,46813,7.88
4567,Nobunaga-sensei no Osanazuma,12,Apr 2019 - Jun 2019,82840,5.31
1428,"Ijiranaide, Nagatoro-san",12,Apr 2021 - Jun 2021,785891,7.27
1237,Deca-Dence,12,Jul 2020 - Sep 2020,297785,7.36
2998,Asobi ni Iku yo!,12,Jul 2010 - Sep 2010,200369,6.57
1684,Shin Chou Kyou Ryo: Condor Hero III,26,Apr 2008 - May 2008,2939,7.18
2487,Buzzer Beater 2nd Season,13,Jul 2007 - Sep 2007,9036,6.79
2235,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",12,Apr 2021 - Jun 2021,371453,6.92
3491,Megami Kouhosei,12,Jan 2000 - Mar 2000,22315,6.34
551,Undead Unluck,24,Oct 2023 -,203343,7.81
733,Ao Haru Ride,12,Jul 2014 - Sep 2014,916725,7.64
2868,Gasaraki,25,Oct 1998 - Mar 1999,22745,6.63
1772,Koi to Yobu ni wa Kimochi Warui,12,Apr 2021 - Jun 2021,234153,7.14
3152,Cosmo Warrior Zero,13,Jul 2001 - Sep 2001,5814,6.51
2984,Oda Cinnamon Nobunaga,12,Jan 2020 - Mar 2020,21052,6.58
4224,Puzzle & Dragon,,Apr 2018 -,1541,5.82
3923,Manga Doushite Monogatari,100,Apr 1984 - Mar 1986,486,6.07
2085,Danball Senki,44,Mar 2011 - Jan 2012,10072,7.0
3925,Osananajimi ga Zettai ni Makenai Love Comedy,12,Apr 2021 - Jun 2021,261905,6.07
420,Full Moon wo Sagashite,52,Apr 2002 - Mar 2003,108850,7.94
4699,Shouwang Zhengfeng: Yuanshi Zhi Li,26,2017 -,59,
19,Owarimonogatari 2nd Season,7,Aug 2017 - Aug 2017,393544,8.87
3987,Jinzou Konchuu Kabutoborg VxV,52,Oct 2006 - Oct 2007,910,6.03
159,Hibike! Euphonium 2,13,Oct 2016 - Dec 2016,224646,8.31
222,xxxHOLiC◆Kei,13,Apr 2008 - Jun 2008,142461,8.21
748,Sugar Apple Fairy Tale Part 2,12,Jul 2023 - Sep 2023,51467,7.63
389,Ookiku Furikabutte: Natsu no Taikai-hen,13,Apr 2010 - Jun 2010,44411,7.97
1538,Aikatsu Friends!,50,Apr 2018 - Mar 2019,11961,7.23
4233,Joshikausei,12,Apr 2019 - Jun 2019,65888,5.82
943,Irozuku Sekai no Ashita kara,13,Oct 2018 - Dec 2018,329616,7.52
4361,Isekai Shoukan wa Nidome desu,12,Apr 2023 - Jun 2023,140347,5.67
1572,Akuyaku Reijou nanode Last Boss wo Kattemimashita,12,Oct 2022 - Dec 2022,159490,7.22
3601,Boukyaku no Senritsu,24,Apr 2004 - Sep 2004,18778,6.28
1312,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,50,Jan 1981 - Dec 1981,6814,7.32
2895,Coyote Ragtime Show,12,Jul 2006 - Sep 2006,20796,6.62
441,Plastic Memories,13,Apr 2015 - Jun 2015,932860,7.91
4294,Usakame,12,Apr 2016 - Jun 2016,12765,5.76
2972,Comic Party,13,Apr 2001 - Jun 2001,19988,6.58
2592,Master Mosquiton '99,26,Sep 1997 - Mar 1998,4629,6.74
3558,Mahou Shoujo Magical Destroyers,12,Apr 2023 - Jun 2023,68534,6.3
3148,100-man no Inochi no Ue ni Ore wa Tatteiru,12,Oct 2020 - Dec 2020,286943,6.51
2098,Kamisama Dolls,13,Jul 2011 - Sep 2011,72319,7.0
1554,Yadamon,170,Aug 1992 - Jul 1993,1828,7.22
1187,Medaka Box Abnormal,12,Oct 2012 - Dec 2012,142258,7.39
1242,Uchuu no Stellvia,26,Apr 2003 - Sep 2003,24791,7.36
2712,Pretty Rhythm: Dear My Future,51,Apr 2012 - Mar 2013,9288,6.69
2056,UniteUp!,12,Jan 2023 - Apr 2023,9222,7.02
2230,The Kabocha Wine,95,Jul 1982 - Aug 1984,3599,6.93
1164,Cosmic Baton Girl Comet-san☆,43,Apr 2001 - Jan 2002,4680,7.4
632,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",12,Jan 2019 - Mar 2019,192834,7.73
2194,Digimon Savers,48,Apr 2006 - Mar 2007,87837,6.95
2126,Koi to Senkyo to Chocolate,12,Jul 2012 - Sep 2012,246746,6.98
818,Tonikaku Kawaii 2nd Season,12,Apr 2023 - Jun 2023,232873,7.59
3440,Tono to Issho: Gantai no Yabou,12,Apr 2011 - Jun 2011,3199,6.37
4617,Choujigen Kakumei Anime: Dimension High School,11,Jan 2019 - Mar 2019,9629,5.11
4385,100% Pascal-sensei (TV),36,Apr 2017 - Dec 2017,2921,5.64
1892,Muteki Kanban Musume,12,Jul 2006 - Sep 2006,20499,7.09
4202,Onsen Yousei Hakone-chan,13,Oct 2015 - Dec 2015,29471,5.84
3907,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,12,Oct 2019 - Dec 2019,47953,6.08
4133,Master of Epic: The Animation Age,12,Jan 2007 - Mar 2007,2164,5.9
1720,Sabikui Bisco,12,Jan 2022 - Mar 2022,245420,7.16
599,City Hunter '91,13,Apr 1991 - Oct 1991,23896,7.75
2389,Musaigen no Phantom World,13,Jan 2016 - Mar 2016,539131,6.85
3072,Uchuu Senshi Baldios,34,Jun 1980 - Jan 1981,2624,6.54
1424,A3! Season Autumn & Winter,12,Oct 2020 - Dec 2020,22320,7.27
1023,Elfen Lied,13,Jul 2004 - Oct 2004,1497644,7.47
2414,Majimoji Rurumo,12,Jul 2014 - Sep 2014,73657,6.83
3487,Venus Versus Virus,12,Jan 2007 - Mar 2007,29833,6.34
2418,Dagashi Kashi 2,12,Jan 2018 - Mar 2018,167020,6.83
3155,Fuuka,12,Jan 2017 - Mar 2017,295191,6.51
1805,Shinkyoku Soukai Polyphonica Crimson S,12,Apr 2009 - Jun 2009,24409,7.13
3701,Anime TV de Hakken! Tamagotchi,27,Jul 1997 - Mar 1998,778,6.22
705,Arslan Senki (TV),25,Apr 2015 - Sep 2015,371932,7.66
4206,Haitai Nanafa 2nd Season,13,Apr 2013 - Jun 2013,4079,5.84
20,Kingdom 3rd Season,26,Apr 2020 - Oct 2021,98724,8.82
3097,Saijaku Muhai no Bahamut,12,Jan 2016 - Mar 2016,394544,6.53
3124,Yami to Boushi to Hon no Tabibito,13,Oct 2003 - Dec 2003,30144,6.52
861,Pokemon: Mezase Pokemon Master,11,Jan 2023 - Mar 2023,22140,7.56
3877,Hakushon Daimaou,52,Oct 1969 - Sep 1970,2196,6.1
4106,Hello Kitty: Ringo no Mori no Mystery,13,Jan 2007 - Mar 2007,850,5.93
4253,Chuldong! Super Wings,52,Sep 2013 - Feb 2016,466,5.8
3729,Submarine Super 99,13,May 2003 - Jul 2003,2223,6.21
4473,Ohayou Ninja-tai Gatchaman,475,Apr 2011 - Mar 2013,872,5.49
1808,Druaga no Tou: The Aegis of Uruk,12,Apr 2008 - Jun 2008,118058,7.13
889,Gugure! Kokkuri-san,12,Oct 2014 - Dec 2014,181695,7.55
4622,Inu ni Nattara Suki na Hito ni Hirowareta.,12,Jan 2023 - Mar 2023,110932,5.08
758,Rozen Maiden: Träumend,12,Oct 2005 - Jan 2006,104798,7.62
1311,Kaikan Phrase,44,Apr 1999 - Mar 2000,13648,7.32
4366,Xiong Chumo: Huanqiu Da Maoxian,104,Jul 2012 -,377,5.66
284,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,13,Jul 2022 - Sep 2022,593877,8.12
4663,Tesla Note,13,Oct 2021 - Dec 2021,23795,4.69
4326,Schoolgirl Strikers: Animation Channel,13,Jan 2017 - Apr 2017,20051,5.71
1490,Fuyu no Sonata,26,Oct 2009 - May 2010,23982,7.25
2787,Nana Maru San Batsu,12,Jul 2017 - Sep 2017,75767,6.66
1437,Koukaku no Regios,24,Jan 2009 - Jun 2009,211467,7.27
2724,Dragon Drive,38,Jul 2002 - Mar 2003,23337,6.69
2086,Danball Senki Wars,37,Apr 2013 - Dec 2013,5041,7.0
3085,Lemon Angel Project,13,Jan 2006 - Mar 2006,8524,6.53
2533,Shadowverse Flame: Seven Shadows-hen,25,Jul 2023 - Dec 2023,2443,6.77
2285,Punch Line,12,Apr 2015 - Jun 2015,232229,6.9
3850,Kitsutsuki Tanteidokoro,12,Apr 2020 - Jun 2020,27207,6.12
1367,Kamisama no Inai Nichiyoubi,12,Jul 2013 - Sep 2013,220294,7.29
2820,Pretty All Friends Selection,16,Jun 2021 - Sep 2021,2007,6.65
3590,Babel Nisei,39,Jan 1973 - Sep 1973,2050,6.29
2392,Kaibutsu-kun,49,Apr 1968 - Mar 1969,1486,6.84
407,Love Live! Superstar!!,12,Jul 2021 - Oct 2021,67808,7.95
1392,Tom Sawyer no Bouken,49,Jan 1980 - Dec 1980,9124,7.28
1075,Gabriel DropOut,12,Jan 2017 - Mar 2017,452875,7.44
4631,Tenka Hyakken: Meiji-kan e Youkoso!,12,Oct 2019 - Dec 2019,8741,4.99
1624,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,12,Jan 2023 - Apr 2023,220546,7.2
3545,Hundred,12,Apr 2016 - Jun 2016,367208,6.31
3849,Kagi Hime Monogatari: Eikyuu Alice Rondo,13,Jan 2006 - Mar 2006,8656,6.12
4029,Yuuki Yuuna wa Yuusha de Aru Churutto!,12,Apr 2021 - Jun 2021,7078,5.99
57,Natsume Yuujinchou Shi,13,Jan 2012 - Mar 2012,242625,8.64
1499,Asura Cryin' 2,13,Oct 2009 - Dec 2009,61797,7.24
2833,Ao no Kanata no Four Rhythm,12,Jan 2016 - Mar 2016,148681,6.64
816,Hoshiai no Sora,12,Oct 2019 - Dec 2019,198673,7.59
4667,Love Kome: We Love Rice,12,Apr 2017 - Jun 2017,11234,4.62
1649,Denki-gai no Honya-san,12,Oct 2014 - Dec 2014,129542,7.19
2665,Visual Prison,12,Oct 2021 - Dec 2021,40151,6.71
1091,Oshi ga Budoukan Ittekuretara Shinu,12,Jan 2020 - Mar 2020,44672,7.43
923,Shoubushi Densetsu Tetsuya,20,Oct 2000 - Mar 2001,10116,7.52
3712,Koala Boy Kokki,26,Apr 1984 - Mar 1985,986,6.22
3290,Paul no Miracle Daisakusen,50,Oct 1976 - Sep 1977,1155,6.44
47,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,12,Oct 2021 - Dec 2021,883113,8.68
1212,Soukyuu no Fafner: Dead Aggressor - Exodus,13,Jan 2015 - Apr 2015,22280,7.37
3619,Koutetsu Tenshi Kurumi 2,12,Apr 2001 - Jun 2001,12137,6.27
2987,Sacred Seven,12,Jul 2011 - Sep 2011,78133,6.58
1742,Date A Live,12,Apr 2013 - Jun 2013,1018035,7.15
2243,Kyokou Suiri,12,Jan 2020 - Mar 2020,467268,6.92
1220,Oda Nobuna no Yabou,12,Jul 2012 - Sep 2012,294280,7.37
2274,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,13,Apr 2013 - Jun 2013,433198,6.91
2898,Gilgamesh,26,Oct 2003 - Mar 2004,41334,6.62
2956,Ring ni Kakero 1: Nichibei Kessen-hen,12,Apr 2006 - Jun 2006,2466,6.59
4415,Porong Porong Pororo 3,52,May 2009 - Oct 2009,510,5.6
2333,NieA Under 7,13,Apr 2000 - Jul 2000,37636,6.87
3142,Persona: Trinity Soul,26,Jan 2008 - Jun 2008,82361,6.51
1568,Selector Infected WIXOSS,12,Apr 2014 - Jun 2014,149128,7.22
4092,Time Bokan 2000: Kaitou Kiramekiman,26,Apr 2000 - Oct 2000,1068,5.93
2624,Ushinawareta Mirai wo Motomete,12,Oct 2014 - Dec 2014,92305,6.73
3193,Danchigai,12,Jul 2015 - Sep 2015,116785,6.49
3131,Ooya-san wa Shishunki!,12,Jan 2016 - Mar 2016,50937,6.52
2481,Etotama,12,Apr 2015 - Jun 2015,79857,6.8
2354,No Guns Life,12,Oct 2019 - Dec 2019,192911,6.86
4037,Eightman,56,Nov 1963 - Dec 1964,1987,5.99
1995,Astro Boy: Tetsuwan Atom,50,Apr 2003 - Mar 2004,24069,7.04
992,Gochuumon wa Usagi desu ka?,12,Apr 2014 - Jun 2014,232403,7.49
1469,Slow Loop,12,Jan 2022 - Mar 2022,61699,7.25
2834,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,12,Jan 2020 - Mar 2020,58881,6.64
273,Katekyou Hitman Reborn!,203,Oct 2006 - Sep 2010,553427,8.13
2738,Kerokero Chime,30,Mar 1997 - Sep 1997,1565,6.68
2933,Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian,52,Mar 2018 - Jun 2018,378,6.6
531,Working'!!,13,Oct 2011 - Dec 2011,262885,7.82
227,Bungou Stray Dogs 3rd Season,12,Apr 2019 - Jun 2019,620717,8.21
2860,Saiyuuki Reload: Zeroin,13,Jan 2022 - Mar 2022,12813,6.63
3463,Future Card Shin Buddyfight,47,Jun 2018 - Apr 2019,3223,6.36
2804,Hataraku Maou-sama!! 2nd Season,12,Jul 2023 - Sep 2023,122115,6.66
597,High Score Girl,12,Jul 2018 - Sep 2018,255268,7.76
2433,Engage Kiss,13,Jul 2022 - Sep 2022,225158,6.82
1483,Angel Heart,50,Oct 2005 - Sep 2006,18036,7.25
787,Hakkenden: Touhou Hakken Ibun 2nd Season,13,Jul 2013 - Sep 2013,63253,7.61
4606,Kirin the Noop,,Feb 2014 -,747,5.14
4289,Opus.COLORs,12,Apr 2023 - Jun 2023,9089,5.76
1032,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,12,Jan 2013 - Mar 2013,151838,7.46
4181,Pikaia!!,13,Feb 2017 - May 2017,657,5.85
1454,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,12,Jul 2021 - Sep 2021,230885,7.26
1206,Slayers Evolution-R,13,Jan 2009 - Apr 2009,32432,7.38
3644,Mafukiden: Pandarian,26,Jan 2005 - Jul 2005,1100,6.26
1446,Rokka no Yuusha,12,Jul 2015 - Sep 2015,628539,7.27
3840,Kenzen Robo Daimidaler,12,Apr 2014 - Jun 2014,70188,6.13
1766,"Sentouin, Hakenshimasu!",12,Apr 2021 - Jun 2021,366942,7.15
3959,Blocker Gundan IV Machine Blaster,38,Jul 1976 - Mar 1977,1160,6.04
2151,Kishin Douji Zenki,51,Jan 1995 - Dec 1995,14130,6.96
2439,Sue Cat,40,Jun 1980 - Dec 1980,793,6.82
1999,Jashin-chan Dropkick,11,Jul 2018 - Sep 2018,122347,7.04
4199,Lei Su Deng Shandian Chong Xian 2,40,2010 - 2010,498,5.84
252,Dr. Stone: Stone Wars,11,Jan 2021 - Mar 2021,1018884,8.17
3379,Tensai Bakabon,40,Sep 1971 - Jun 1972,1316,6.4
1796,Kuromukuro,26,Apr 2016 - Sep 2016,142115,7.13
2298,Ninin ga Shinobuden,12,Jul 2004 - Sep 2004,34908,6.89
129,3-gatsu no Lion,22,Oct 2016 - Mar 2017,671147,8.38
1470,Sora no Otoshimono,13,Oct 2009 - Dec 2009,475882,7.25
1574,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,12,Jul 2016 - Sep 2016,351150,7.22
3478,Hyouken no Majutsushi ga Sekai wo Suberu,12,Jan 2023 - Mar 2023,150293,6.35
1679,Ou Dorobou Jing,13,May 2002 - Aug 2002,37637,7.18
1065,Senki Zesshou Symphogear GX,13,Jul 2015 - Sep 2015,46961,7.45
746,Ichigo Mashimaro,12,Jul 2005 - Oct 2005,108358,7.63
3335,R-15,12,Jul 2011 - Sep 2011,90451,6.42
3439,Tokyo Ghoul:re,12,Apr 2018 - Jun 2018,1166108,6.37
583,Hoozuki no Reitetsu,13,Jan 2014 - Apr 2014,130578,7.77
4250,Choboraunyopomi Gekijou Ai Mai Mii,13,Jan 2013 - Mar 2013,30350,5.81
75,Fate/Zero 2nd Season,12,Apr 2012 - Jun 2012,1105346,8.55
1580,H2,41,Jun 1995 - Mar 1996,9869,7.22
2790,Nobunagun,13,Jan 2014 - Mar 2014,65235,6.66
4083,Lime-iro Senkitan,13,Jan 2003 - Mar 2003,10930,5.95
2338,Generator Gawl,12,Oct 1998 - Dec 1998,9746,6.87
1104,Aoki Densetsu Shoot!,58,Nov 1993 - Dec 1994,14994,7.42
2431,Bomberman B-Daman Bakugaiden,48,Feb 1998 - Jan 1999,3282,6.82
4008,Weiß Survive R,12,Dec 2009 - Mar 2010,11343,6.01
2448,Mahou Shoujo Pretty Sammy (1996),26,Oct 1996 - Mar 1997,7981,6.82
3199,Sinbi Apateu: Ghost Ball Bimil,24,Jul 2016 - Jan 2017,1627,6.49
2958,12-sai.: Chicchana Mune no Tokimeki 2nd Season,12,Oct 2016 - Dec 2016,17448,6.59
3346,Gifuu Doudou!!: Kanetsugu to Keiji,25,Jul 2013 - Dec 2013,8094,6.42
1282,Mononogatari 2nd Season,12,Jul 2023 - Sep 2023,31692,7.34
754,Seikai no Monshou,13,Jan 1999 - Mar 1999,52402,7.63
1371,Maria-sama ga Miteru,13,Jan 2004 - Apr 2004,69476,7.29
3770,Brain Powerd,26,Apr 1998 - Nov 1998,10683,6.18
337,"Komi-san wa, Comyushou desu. 2nd Season",12,Apr 2022 - Jun 2022,466381,8.05
2081,Geragera Boes Monogatari,52,Apr 1987 - Mar 1988,1793,7.01
3191,ClassicaLoid 2nd Season,25,Oct 2017 - Mar 2018,7393,6.49
2855,Morita-san wa Mukuchi. 2,13,Oct 2011 - Dec 2011,13440,6.63
2133,Concrete Revolutio: Choujin Gensou - The Last Song,11,Apr 2016 - Jun 2016,35910,6.98
342,Glass no Kamen (2005),51,Apr 2005 - Mar 2006,39355,8.04
4044,Huoli Shaonian Wang zhi Chuanqi Zaixian,40,Sep 2014 - Oct 2014,465,5.98
4248,Barbapapa (1977),48,Apr 1977 - Jun 1977,945,5.81
2522,Sora no Method,13,Oct 2014 - Dec 2014,107879,6.77
2694,Teppen!!!!!!!!!!!!!!!,12,Jul 2022 - Sep 2022,18898,6.7
4320,Aquarion Logos,26,Jul 2015 - Dec 2015,23289,5.71
1317,Sewayaki Kitsune no Senko-san,12,Apr 2019 - Jun 2019,348714,7.32
702,Hayate no Gotoku!!,25,Apr 2009 - Sep 2009,114608,7.67
2991,Meimon! Daisan Yakyuu-bu,40,Oct 1988 - Sep 1989,856,6.57
4373,Bakugan: Armored Alliance,52,Apr 2020 - Mar 2021,3848,5.65
944,Isshuukan Friends.,12,Apr 2014 - Jun 2014,313697,7.52
3385,Kiko-chan Smile,51,Oct 1996 - Sep 1997,1379,6.4
1226,Shigurui,12,Jul 2007 - Oct 2007,122718,7.37
896,Fantastic Children,26,Oct 2004 - Mar 2005,33400,7.54
2892,Choujuushin Gravion Zwei,12,Jan 2004 - Mar 2004,9175,6.62
910,Kimagure Orange☆Road,48,Apr 1987 - Mar 1988,47873,7.53
1917,Tsuyoshi Shikkari Shinasai,112,Oct 1992 - Dec 1994,2820,7.07
2476,Neo Angelique Abyss,13,Apr 2008 - Jun 2008,37587,6.8
3200,Tetsujin 28-gou,96,Oct 1963 - May 1965,3538,6.49
417,Nurarihyon no Mago: Sennen Makyou,24,Jul 2011 - Dec 2011,162244,7.94
2104,Overman King Gainer,26,Sep 2002 - Mar 2003,13534,7.0
592,Ranma ½,161,Apr 1989 - Sep 1992,252207,7.76
942,Hataraku Saibou Black,13,Jan 2021 - Mar 2021,222280,7.52
4620,Hakata Mentai! Pirikarako-chan,12,Jul 2019 - Sep 2019,3163,5.08
2404,Shouwa Monogatari,13,Apr 2011 - Jun 2011,5751,6.83
3172,Koukaku no Pandora,12,Jan 2016 - Mar 2016,46018,6.5
2812,Tatakae! Chou Robot Seimeitai Transformers Victory,38,Mar 1989 - Dec 1989,3182,6.65
3574,Gundam Build Divers,25,Apr 2018 - Sep 2018,30822,6.3
65,Jujutsu Kaisen,24,Oct 2020 - Mar 2021,2456727,8.62
271,Nisemonogatari,11,Jan 2012 - Mar 2012,725563,8.14
788,Jigoku Shoujo,26,Oct 2005 - Apr 2006,356983,7.61
3338,Absolute Duo,12,Jan 2015 - Mar 2015,550186,6.42
2515,Happy Sugar Life,12,Jul 2018 - Sep 2018,299131,6.78
1844,Ai Yori Aoshi: Enishi,12,Oct 2003 - Dec 2003,59025,7.11
523,Id:Invaded,13,Jan 2020 - Mar 2020,363732,7.83
1728,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",12,Apr 2022 - Jun 2022,295146,7.16
981,Kidou Senkan Nadesico,26,Oct 1996 - Mar 1997,53976,7.49
2635,Night Head Genesis,24,Jun 2006 - Dec 2006,31231,6.73
2302,Rosario to Vampire Capu2,13,Oct 2008 - Dec 2008,415997,6.89
4659,Run=Dim,13,Apr 2001 - Jun 2001,2714,4.71
409,Bishoujo Senshi Sailor Moon: Sailor Stars,34,Mar 1996 - Feb 1997,112224,7.95
533,Yuru Yuri♪♪,12,Jul 2012 - Sep 2012,184861,7.82
1422,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,12,Apr 2022 - Jun 2022,65936,7.28
4325,Lime-iro Ryuukitan X,13,Jan 2005 - Mar 2005,4875,5.71
266,Death Parade,12,Jan 2015 - Mar 2015,1746171,8.15
4021,Spheres,26,Feb 2003 - Aug 2003,821,6.0
2232,Tsukuyomi: Moon Phase,25,Oct 2004 - Mar 2005,76109,6.93
363,D.Gray-man,103,Oct 2006 - Sep 2008,686975,8.01
4055,Sengoku☆Paradise Kiwami,26,Oct 2011 - Mar 2012,5584,5.97
2765,Teekyuu 4,12,Apr 2015 - Jun 2015,22311,6.67
3954,Gunslinger Stratos The Animation,12,Apr 2015 - Jun 2015,72146,6.05
4565,Yuusei Shounen Papii,52,Jun 1965 - May 1966,988,5.32
396,Hokuto no Ken,109,Oct 1984 - Mar 1987,130048,7.96
3045,Kyoukai Senki Part 2,12,Apr 2022 - Jun 2022,13567,6.55
4640,Dia Horizon (Kabu),12,Oct 2017 - Dec 2017,5054,4.88
807,Kareshi Kanojo no Jijou,26,Oct 1998 - Mar 1999,228156,7.59
4540,Moegaku★5,40,Jan 2008 - Mar 2008,1296,5.38
4107,Arad: Gyakuten no Wa,13,Jul 2020 - Sep 2020,2245,5.92
1356,Ginban Kaleidoscope,12,Oct 2005 - Dec 2005,49411,7.3
189,Gin no Saji 2nd Season,11,Jan 2014 - Mar 2014,144520,8.27
535,Beastars,12,Oct 2019 - Dec 2019,841898,7.82
2119,Uzaki-chan wa Asobitai!,12,Jul 2020 - Sep 2020,468669,6.99
123,Major S5,25,Jan 2009 - Jun 2009,70414,8.4
1915,Super Lovers 2,10,Jan 2017 - Mar 2017,89802,7.07
3327,Psychoarmor Govarian,26,Jul 1983 - Dec 1983,1453,6.43
1787,Suki na Ko ga Megane wo Wasureta,13,Jul 2023 - Sep 2023,175643,7.14
801,Kino no Tabi: The Beautiful World - The Animated Series,12,Oct 2017 - Dec 2017,204751,7.6
1978,Usavich II,13,Oct 2007 - Jan 2008,5068,7.04
3390,Okusama wa Mahou Shoujo,13,Jul 2005 - Sep 2005,9897,6.4
1923,Kinnikuman: Kinnikusei Oui Soudatsu-hen,46,Oct 1991 - Sep 1992,3791,7.07
2295,Yu☆Gi☆Oh! Zexal Second,73,Oct 2012 - Mar 2014,40113,6.89
3529,Rikujou Bouei-tai Mao-chan,26,Jul 2002 - Dec 2002,5503,6.32
1822,Lodoss-tou Senki: Eiyuu Kishi Den,27,Apr 1998 - Sep 1998,33055,7.12
3333,Pingu in the City (2018),26,Oct 2018 - Mar 2019,10154,6.42
