,Name,Episodes,Release,Members,Score
594,Akagami no Shirayuki-hime,12,Jul 2015 - Sep 2015,667137,7.76
2570,Mamahaha no Tsurego ga Motokano datta,12,Jul 2022 - Sep 2022,275459,6.75
750,Kidou Senshi Gundam Unicorn RE:0096,22,Apr 2016 - Sep 2016,34352,7.63
197,Space☆Dandy 2nd Season,13,Jul 2014 - Sep 2014,166295,8.26
4225,Sengoku Choujuu Giga: Otsu,13,Jan 2017 - Apr 2017,3037,5.82
1894,Nobunaga no Shinobi: Anegawa Ishiyama-hen,26,Apr 2018 - Sep 2018,9093,7.09
794,Hana yori Dango,51,Sep 1996 - Aug 1997,61639,7.6
3269,Binan Koukou Chikyuu Bouei-bu Happy Kiss!,12,Apr 2018 - Jul 2018,12412,6.45
367,Shokugeki no Souma: San no Sara,12,Oct 2017 - Dec 2017,963077,8.0
433,Hanamonogatari,5,Aug 2014 - Aug 2014,423968,7.92
2582,I My Me! Strawberry Eggs,13,Jul 2001 - Sep 2001,38559,6.75
2711,Ougon Bat,52,Apr 1967 - Mar 1968,2568,6.69
2580,Fireball Charming,13,Apr 2011 - Jun 2011,8359,6.75
3498,Kenja no Deshi wo Nanoru Kenja,12,Jan 2022 - Mar 2022,119433,6.33
1425,Ahiru no Sora,50,Oct 2019 - Sep 2020,196594,7.27
1663,Uta no☆Prince-sama♪ Maji Love 2000%,13,Apr 2013 - Jun 2013,112299,7.18
3743,Giniro no Olynsis: Tokito,12,Oct 2006 - Dec 2006,8309,6.2
308,Hikaru no Go,75,Oct 2001 - Mar 2003,137186,8.08
3961,Fushigi na Koala Blinky,26,Jul 1984 - Dec 1984,1132,6.04
761,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,48,Jan 1998 - Apr 1998,12804,7.62
4509,Doctor Chichibuyama,2,Apr 1988 - Jul 1988,848,5.43
2257,Haou Taikei Ryuu Knight,52,Apr 1994 - Mar 1995,3359,6.92
4284,Stand My Heroes: Piece of Truth,12,Oct 2019 - Dec 2019,26828,5.77
3120,Technoroid: Overmind,12,Jan 2023 - Mar 2023,14318,6.52
4519,Märchen Mädchen,10,Jan 2018 - Mar 2018,41070,5.4
2644,Shadowverse Flame,50,Apr 2022 - Mar 2023,6009,6.72
353,Juuni Kokuki,45,Apr 2002 - Aug 2003,150379,8.02
2116,Idol Densetsu Eriko,51,Apr 1989 - Mar 1990,6087,6.99
3830,Gunjou no Fanfare,13,Apr 2022 - Jun 2022,24379,6.14
3536,Juusenshi Gulkeeva,26,Apr 1995 - Sep 1995,2294,6.32
888,Gensoumaden Saiyuuki,50,Apr 2000 - Mar 2001,54957,7.55
3013,Wooser no Sono Higurashi: Kakusei-hen,12,Jan 2014 - Mar 2014,6520,6.57
2564,Karate Baka Ichidai,47,Oct 1973 - Sep 1974,1642,6.75
