Unnamed: 0,Name,Episodes,Release,Members,Score
2015,Maiko-san Chi no Makanai-san,12.0,Feb 2021 - Jan 2022,18154,7.03
2888,Samurai Giants,46.0,Oct 1973 - Sep 1974,1506,6.62
4661,Bishoujo Yuugi Unit Crane Game Girls Galaxy,12.0,Oct 2016 - Dec 2016,3502,4.7
1279,Kidou Shinseiki Gundam X,39.0,Apr 1996 - Dec 1996,35950,7.34
1036,Oushitsu Kyoushi Heine,12.0,Apr 2017 - Jun 2017,142319,7.46
2664,Tayutama: Kiss on My Deity,12.0,Apr 2009 - Jun 2009,70229,6.71
874,Wakakusa Monogatari: Nan to Jo-sensei,40.0,Jan 1993 - Dec 1993,6621,7.55
414,Kindaichi Shounen no Jikenbo,148.0,Apr 1997 - Sep 2000,30689,7.94
3956,Abarenbou Rikishi!! Matsutarou,23.0,Apr 2014 - Sep 2014,9350,6.04
3371,Infini-T Force,12.0,Oct 2017 - Dec 2017,8717,6.41
2195,Ensemble Stars!,24.0,Jul 2019 - Dec 2019,47733,6.95
1394,Watashi ni Tenshi ga Maiorita!,12.0,Jan 2019 - Mar 2019,200487,7.28
4218,Power Battle Watch Car,13.0,Apr 2016 - Jul 2016,336,5.83
1137,Sasuke,29.0,Sep 1968 - Mar 1969,2172,7.41
4010,Zhen Gyi Hong Shi,52.0,Oct 2014 - Nov 2014,682,6.01
4073,Cardfight!! Vanguard: overDress,12.0,Apr 2021 - Jun 2021,14991,5.96
3785,Ojamanga Yamada-kun,103.0,Sep 1980 - Oct 1982,828,6.17
3735,Majutsushi Orphen Hagure Tabi: Kimluck-hen,11.0,Jan 2021 - Mar 2021,28568,6.2
1489,Fushigi Mahou Fun Fun Pharmacy,48.0,Feb 1998 - Feb 1999,3507,7.25
1371,Maria-sama ga Miteru,13.0,Jan 2004 - Apr 2004,69476,7.29
4695,Shounen Santa no Daibouken!,24.0,Apr 1996 - Sep 1996,482,nan
3324,Persona 5 the Animation,26.0,Apr 2018 - Sep 2018,254458,6.43
2821,Rewrite,13.0,Jul 2016 - Sep 2016,207707,6.65
4577,Piroppo,23.0,Oct 2001 - Mar 2002,818,5.27
2145,Super Fishing Grander Musashi,25.0,Apr 1997 - Sep 1997,4940,6.97
2962,Dragonaut: The Resonance,25.0,Oct 2007 - Mar 2008,76091,6.59
2141,Dragon Quest: Yuusha Abel Densetsu,43.0,Dec 1989 - Apr 1991,6693,6.97
1549,VS Knight Lamune & 40 Fire,26.0,Apr 1996 - Sep 1996,3317,7.23
421,Bleach,366.0,Oct 2004 - Mar 2012,1934816,7.93
408,Noragami,12.0,Jan 2014 - Mar 2014,2136691,7.95
1384,Tari Tari,13.0,Jul 2012 - Sep 2012,160606,7.29
4472,Mayoiga,12.0,Apr 2016 - Jun 2016,216077,5.49
3118,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,12.0,Jul 2023 - Sep 2023,119088,6.52
2423,Ikkyuu-san,296.0,Oct 1975 - Jun 1982,2414,6.83
2324,Pokemon Side Stories,16.0,Dec 2002 - Sep 2004,32259,6.88
2000,B'T X,25.0,Apr 1996 - Sep 1996,12018,7.03
1790,Uta no☆Prince-sama♪ Maji Love Legend Star,13.0,Oct 2016 - Dec 2016,41724,7.14
1320,Black Cat (TV),23.0,Oct 2005 - Mar 2006,268933,7.32
957,Yawara!,124.0,Oct 1989 - Sep 1992,21528,7.51
2695,Tesagure! Bukatsumono,12.0,Oct 2013 - Dec 2013,12583,6.7
1462,Cyborg 009: The Cyborg Soldier,50.0,Oct 2001 - Aug 2003,33820,7.26
3357,Kagewani: Shou,13.0,Apr 2016 - Jun 2016,18952,6.41
2874,Yuusha ga Shinda!,12.0,Apr 2023 - Jun 2023,113244,6.63
4017,Personal Computer Travel Tanteidan,26.0,Apr 1983 - Sep 1983,1301,6.0
3822,Sengoku Night Blood,12.0,Oct 2017 - Dec 2017,44781,6.14
2170,Jinzou Ningen Kikaider The Animation,13.0,Oct 2000 - Jan 2001,10025,6.96
1061,Kishuku Gakkou no Juliet,12.0,Oct 2018 - Dec 2018,366070,7.45
905,Mashiro no Oto,12.0,Apr 2021 - Jun 2021,148341,7.54
2407,Zombie-Loan,11.0,Jul 2007 - Sep 2007,138599,6.83
4578,Hand Shakers,12.0,Jan 2017 - Mar 2017,105823,5.26
4062,Juusou Kikou Dancougar Nova,12.0,Feb 2007 - May 2007,5910,5.97
4208,Blue Reflection Ray,24.0,Apr 2021 - Sep 2021,29191,5.83
1138,Senyuu. 2,13.0,Jul 2013 - Sep 2013,56852,7.41
1684,Shin Chou Kyou Ryo: Condor Hero III,26.0,Apr 2008 - May 2008,2939,7.18
1970,Tokyo Majin Gakuen Kenpucho: Tou,14.0,Jan 2007 - Apr 2007,94027,7.05
3340,Arrow Emblem Grand Prix no Taka,44.0,Sep 1977 - Aug 1978,2222,6.42
3954,Gunslinger Stratos The Animation,12.0,Apr 2015 - Jun 2015,72146,6.05
3085,Lemon Angel Project,13.0,Jan 2006 - Mar 2006,8524,6.53
2900,Gokuu no Daibouken,39.0,Jan 1967 - Sep 1967,1075,6.62
4622,Inu ni Nattara Suki na Hito ni Hirowareta.,12.0,Jan 2023 - Mar 2023,110932,5.08
2554,"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",12.0,Oct 2019 - Dec 2019,185988,6.76
1217,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",13.0,Jul 2020 - Sep 2020,780737,7.37
2444,Kantai Collection: KanColle,12.0,Jan 2015 - Mar 2015,217562,6.82
2843,Kaiketsu Jouki Tanteidan,26.0,Oct 1998 - Mar 1999,4973,6.64
108,Owarimonogatari,12.0,Oct 2015 - Dec 2015,473075,8.45
3360,Komatta Jiisan,13.0,Apr 2020 - Jul 2020,4595,6.41
2481,Etotama,12.0,Apr 2015 - Jun 2015,79857,6.8
